date,open,high,low,close,volume,trade_volume
20210830,81300,83000,80300,80900,175957,14352
20210827,83100,83800,81000,81300,193555,15883
20210826,83700,86500,83100,84000,267407,22641
20210825,80400,85300,78000,84300,395618,32597
20210824,75500,81500,75300,80000,474469,37281
20210823,71900,75600,71700,73800,213470,15761
20210820,75600,76200,71400,71700,311911,22797
20210819,75600,78800,75100,75200,294893,22557
20210818,77600,79300,77500,77700,200018,15643
20210817,81100,81100,77600,77600,332391,26178
20210813,81800,83800,80600,81200,259073,21123
20210812,84400,84800,82800,82900,237814,19854
20210811,85200,85700,83500,85100,258916,21933
20210810,88500,89100,85000,85100,261493,22662
20210809,90500,90800,87800,88100,359258,31970
20210806,83000,91200,82900,91000,1109076,98765
20210805,84200,84500,81600,81600,198458,16454
20210804,81100,83100,79800,82500,207405,16840
20210803,81600,83500,79900,81700,248413,20215
20210802,80600,83900,80200,81800,149510,12293
20210730,82400,82900,78500,80000,179233,14473
20210729,81700,82800,81400,82700,91943,7564
20210728,81500,83300,80700,81600,162998,13319
20210727,82400,84100,81900,82100,174275,14411
20210726,86400,87000,81800,83600,290365,24297
20210723,86900,88600,85800,86200,146198,12688
20210722,91300,91900,87500,87700,239166,21261
20210721,86300,90600,85100,89700,289240,25610
20210720,87900,87900,84900,85100,212880,18259
20210719,87900,89000,87200,88100,111756,9832
20210716,88100,90200,87500,88600,180279,15952
20210715,88400,90000,88000,88500,185075,16395
20210714,89100,90000,87500,88300,264511,23440
20210713,93100,93800,89700,90200,348328,31688
20210712,92800,96000,92800,93100,239846,22471
20210709,90200,94900,89000,93300,530220,49549
20210708,94100,95100,90500,91000,479967,44222
20210707,95500,97900,94300,94300,375299,35959
20210706,96100,99000,93500,95300,460349,44313
20210705,91300,97500,91000,96300,629288,59757
20210702,88400,91700,87500,91700,575903,51944
20210701,84100,87700,83500,87700,329196,28245
20210630,82000,84600,81900,83700,200726,16764
20210629,82300,83000,81100,82000,147861,12096
20210628,83300,83300,81500,82200,159399,13118
20210625,82100,84100,80500,83200,303812,25096
20210624,79900,82700,79000,80900,397502,32354
20210623,78600,80400,78300,78300,214769,16949
20210622,79100,80700,78200,78200,232663,18488
20210621,77500,80500,77100,78800,187720,14756
20210618,75400,79000,75300,78600,289223,22539
20210617,75700,76100,74600,75500,114071,8586
20210616,75900,76900,74400,76300,161421,12203
20210615,77700,77800,75400,75900,165407,12600
20210614,76100,78600,76000,77700,284267,22062
20210611,76200,79800,75100,75200,485848,37512
20210610,71800,75800,71400,74900,489049,36380
20210609,74600,75100,71500,71600,316688,23047
20210608,70500,76500,70500,74600,740832,54952
20210607,70300,71200,69400,69900,163932,11491
20210604,71600,71700,69800,69900,205526,14421
20210603,69600,72400,69000,71500,177122,12627
20210602,70600,71000,69600,70200,139483,9799
20210601,72200,72300,70000,70300,291829,20656
20210531,71200,76800,71000,73000,423299,31261
20210528,70700,71400,70400,70600,124414,8823
20210527,70400,72200,70000,70500,267248,18958
20210526,72500,73000,70300,70500,764495,51978
20210525,68000,72000,67000,71400,538018,37458
20210524,69700,70800,66500,67100,350760,23862
20210521,71000,73600,69900,70100,340897,24421
20210520,73100,73200,70000,70200,250560,17742
20210518,72800,74100,71700,73400,142441,10419
20210517,72600,74000,71200,72800,196490,14220
20210514,71600,73500,70200,72800,189516,13700
20210513,71500,73400,71000,71100,234583,16887
20210512,75400,76400,73600,74000,194765,14531
20210511,79000,79000,75800,76000,234886,18040
20210510,77100,80500,76300,79300,184811,14542
20210507,76000,81500,75800,77000,278058,21851
20210506,76600,76900,74500,76700,232729,17619
20210504,76000,78600,75800,77500,236827,18253
20210503,79500,81600,76900,77200,277744,21856
20210430,83000,83800,78200,80700,254658,20599
20210429,84500,86700,82100,82900,241099,20440
20210428,85100,86700,84400,84400,182968,15588
20210427,86200,87300,85600,85800,144674,12458
20210426,88100,88100,86000,86700,214333,18509
20210423,90100,91600,88100,88100,242564,21640
